Item,Instruction_1,Instruction_2,Instruction_3,Category
water cooler refrigeration base,"Place this item at your curb on your regular garbage collection day, 0.5 metre (2 feet) away from your Garbage Bin.",,,Oversized Item
water/food/picnic coolers (large),Consider donating reusable items to non-profit organizations.,"Otherwise, place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
light ballasts without PCBs,Place this item in the Garbage Bin.,,,Garbage
popcorn cart,Consider donating reusable items to non-profit organizations.,"Alternatively, place this empty item at the curb on your regular garbage collection day, 0.5 metre (2 feet) away from your Garbage Bin.",,Oversized Item
Christmas tree (artificial/fake),Consider donating reusable items to non-profit organizations.,"Otherwise, place tree without any bags, tinsel, ornaments, nails, tree skirts and stands 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
"docking stations for laptops, phones etc.","Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
wheelchair/wheel chair,Consider donating reusable items to non-profit organizations.,"Otherwise, place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
ping pong table,Consider donating reusable items to non-profit organizations.,"Alternatively, take apart and place at the curb on your regular garbage collection day, 0.5 metre (2 feet) away from your Garbage Bin.",,Oversized Item
air hockey table,Consider donating reusable items to non-profit organizations.,"Alternatively, place item at the curb on your regular garbage collection day, 0.5 metres (2 feet) away from your Garbage Bin.",,Oversized Item
storage bins,Consider donating reusable items to non-profit organizations.,"Otherwise, place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
storage totes,Consider donating reusable items to non-profit organizations.,"Otherwise, place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
milk crate,Consider donating reusable items to non-profit organizations.,"Otherwise, place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
chalk boards,Consider donating reusable items to non-profit organizations.,"Otherwise, place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
white boards,Consider donating reusable items to non-profit organizations.,"Otherwise, place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
bulletin boards,Consider donating reusable items to non-profit organizations.,"Otherwise, place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
workbench/work bench,Take item apart if large/heavy and place 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.,Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
lawn furniture,Consider donating reusable items to non-profit organizations.,"Alternatively, place item at the curb on your regular garbage collection day, 0.5 metres (2 feet) away from your Garbage Bin.","Take apart or separate large heavy items, so that they are manageable.",Oversized Item
patio furniture,Consider donating reusable items to non-profit organizations.,"Otherwise, place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
patio umbrella,Consider donating reusable items to non-profit organizations.,"Otherwise, place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
patio table,Consider donating reusable items to non-profit organizations.,"Otherwise, place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
patio chairs,Consider donating reusable items to non-profit organizations.,"Otherwise, place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
fence,Place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.,,,Oversized Item
plastic shed (dismantled),Place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.,,,Oversized Item
rain barrels (empty),Place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.,,,Oversized Item
backyard composters (empty),Place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.,,,Oversized Item
